"","Restaurant","Item","Size","Serving_Size","Calories","Calories_From_Fat","Total_Fat.g","Daily_Percent_Total_Fat","Saturated_Fat.g","Daily_Percent_Saturated_Fat","Trans_Fat.g","Cholesterol.mg","Daily_Percent_Cholesterol","Sodium.mg","Daily_Percent_Sodium","Total_Carbohydrates.g","Daily_Percent_Total_Carbohydrates","Dietary_Fiber.g","Daily_Percent_Dietary_Fiber","Sugars.g","Protein.g","Daily_Percent_Protein","Vitamin_A","Vitamin_C","Calcium","Iron","Type"
"1","mcdonalds","bacon mcdouble",NA,165,460,210,24,37,10,50,1,85,28,1120,47,34,11,2,8,7,28,56,6,10,20,20,"Burgers & Sandwiches"
"2","mcdonalds","bacon ranch deluxe mccrispy",NA,1,660,333,37,57,8,40,2,80,27,1490,62,50,17,2,8,12,33,66,NA,NA,NA,NA,"Burgers & Sandwiches"
"3","mcdonalds","bacon ranch mccrispy",NA,1,650,324,36,55,8,40,2,80,27,1610,67,49,16,2,8,11,33,66,NA,NA,4,15,"Burgers & Sandwiches"
"4","mcdonalds","big mac",NA,1,540,250,28,43,10,50,1,80,27,950,40,46,15,3,12,9,25,50,10,2,15,25,"Burgers & Sandwiches"
"5","mcdonalds","big mac bacon",NA,1,610,300,33,51,12,60,1,95,32,1210,50,47,16,3,12,9,30,60,10,8,10,25,"Burgers & Sandwiches"
"6","mcdonalds","cardi b offset meal",NA,2190,NA,680,75,115,29,145,2,140,47,2410,100,336,112,15,60,193,55,110,NA,NA,NA,NA,"Burgers & Sandwiches"
"7","mcdonalds","cheeseburger",NA,1,300,110,12,18,6,30,0.5,40,13,680,28,33,11,2,8,7,15,30,10,2,10,15,"Burgers & Sandwiches"
"8","mcdonalds","cheesy jalapeno bacon quarter pounder","single",1,650,342,38,58,17,85,1.5,120,40,1760,73,41,14,2,8,8,37,74,NA,NA,15,25,"Burgers & Sandwiches"
"9","mcdonalds","cheesy jalapeno bacon quarter pounder","double",1,870,486,54,83,24,120,2.5,190,63,1970,82,41,14,2,8,8,55,110,NA,NA,20,35,"Burgers & Sandwiches"
"10","mcdonalds","daily double",NA,194,440,220,24,37,9,45,1.5,70,23,770,32,33,11,2,8,7,23,46,6,6,20,20,"Burgers & Sandwiches"
"11","mcdonalds","deluxe crispy chicken sandwich",NA,1,530,234,26,40,4,20,0,65,22,1040,43,47,16,2,8,10,27,54,NA,NA,2,10,"Burgers & Sandwiches"
"12","mcdonalds","double cheeseburger",NA,1,440,200,22,34,11,55,1,85,28,1050,44,34,11,2,8,7,25,50,20,4,15,20,"Burgers & Sandwiches"
"13","mcdonalds","double filet o fish",NA,1,540,230,26,40,6,30,0,80,27,790,33,47,16,2,8,5,28,56,NA,NA,NA,NA,"Burgers & Sandwiches"
"14","mcdonalds","double hamburger",NA,1,330,130,14,22,6,30,1,55,18,650,27,32,11,2,8,6,20,40,NA,NA,NA,NA,"Burgers & Sandwiches"
"15","mcdonalds","double quarter pounder with cheese",NA,1,780,410,45,69,21,105,2.5,175,58,1310,55,43,14,3,12,10,51,102,20,6,20,35,"Burgers & Sandwiches"
"16","mcdonalds","double quarter pounder with cheese deluxe",NA,1,650,350,39,60,15,75,1.5,110,37,1180,49,44,15,3,12,11,32,64,NA,NA,NA,NA,"Burgers & Sandwiches"
"17","mcdonalds","filet o fish",NA,1,390,170,19,29,4,20,0,45,15,560,23,38,13,2,8,5,17,34,4,0,6,10,"Burgers & Sandwiches"
"18","mcdonalds","hamburger",NA,1,250,70,8,12,3,15,0,30,10,480,20,31,10,2,8,6,13,26,2,2,4,15,"Burgers & Sandwiches"
"19","mcdonalds","hot n spicy mcchicken",NA,146,380,160,17,26,3,15,0,35,12,1030,43,41,14,2,8,22,15,30,0,0,15,15,"Burgers & Sandwiches"
"20","mcdonalds","mcchicken",NA,1,410,190,22,34,4,20,0,45,15,590,25,39,13,2,8,5,15,30,2,2,4,15,"Burgers & Sandwiches"
"21","mcdonalds","crispy chicken sandwich",NA,1,470,180,20,31,5,25,0,65,22,1100,46,45,15,1,4,9,27,54,NA,NA,2,10,"Burgers & Sandwiches"
"22","mcdonalds","mcdouble",NA,1,390,160,18,28,8,40,1,70,23,850,35,33,11,2,8,7,22,44,10,2,10,20,"Burgers & Sandwiches"
"23","mcdonalds","mcrib",NA,1,520,252,28,43,9,45,0,75,25,890,37,46,15,2,8,13,24,48,NA,NA,4,20,"Burgers & Sandwiches"
"24","mcdonalds","quarter pounder bacon",NA,1,640,310,34,52,16,80,1.5,125,42,1480,62,44,15,3,12,11,39,78,20,20,20,25,"Burgers & Sandwiches"
"25","mcdonalds","quarter pounder deluxe",NA,1,650,350,39,60,15,75,1.5,110,37,1180,49,44,15,3,12,11,32,64,10,8,25,30,"Burgers & Sandwiches"
"26","mcdonalds","quarter pounder with cheese",NA,1,540,250,28,43,13,65,1.5,100,33,1120,47,42,14,3,12,10,31,62,20,6,15,25,"Burgers & Sandwiches"
"27","mcdonalds","smoky blt quarter pounder with cheese","single",1,770,459,51,78,18,90,2,115,38,1410,59,41,14,3,12,9,36,72,NA,NA,15,25,"Burgers & Sandwiches"
"28","mcdonalds","smoky blt quarter pounder with cheese","double",1,990,603,67,103,25,125,3,185,62,1620,68,42,14,3,12,9,54,108,NA,NA,15,35,"Burgers & Sandwiches"
"29","mcdonalds","spicy deluxe crispy chicken sandwich",NA,1,530,234,26,40,4,20,0,65,22,1200,50,49,16,2,8,10,27,54,NA,NA,2,15,"Burgers & Sandwiches"
"30","mcdonalds","spicy crispy chicken sandwich",NA,1,530,234,26,40,4,20,0,65,22,1230,51,47,16,1,4,9,27,54,NA,NA,2,10,"Burgers & Sandwiches"
"31","mcdonalds","triple cheeseburger",NA,1,520,250,28,43,14,70,1.5,110,37,1180,49,35,12,2,8,7,32,64,20,2,20,25,"Burgers & Sandwiches"
"32","mcdonalds","1 low fat milk jug",NA,236,100,20,3,5,1.5,8,0,10,3,125,5,12,4,0,0,12,8,16,10,4,30,0,"Beverages"
"33","mcdonalds","minute maid apple juice box",NA,200,35,0,0,0,0,0,0,0,0,10,0,9,3,0,0,8,0,0,0,NA,0,0,"Beverages"
"34","mcdonalds","coca cola classic","extra small",1,110,0,0,0,0,0,0,0,0,35,1,31,10,0,0,31,0,0,0,0,0,0,"Beverages"
"35","mcdonalds","coca cola classic","small",16,150,0,0,0,0,0,0,0,0,40,2,39,13,0,0,39,0,0,0,0,0,0,"Beverages"
"36","mcdonalds","coca cola classic","medium",21,220,0,0,0,0,0,0,0,0,55,2,59,20,0,0,59,0,0,0,0,0,0,"Beverages"
"37","mcdonalds","coca cola classic","large",30,290,0,0,0,0,0,0,0,0,85,4,80,27,0,0,80,0,0,0,0,0,0,"Beverages"
"38","mcdonalds","dasanicopy water",NA,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Beverages"
"39","mcdonalds","diet coke","medium",21,0,0,0,0,0,0,0,0,0,70,3,0,0,0,0,0,0,0,0,0,0,0,"Beverages"
"40","mcdonalds","diet coke","extra small",1,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,"Beverages"
"41","mcdonalds","diet coke","small",16,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,"Beverages"
"42","mcdonalds","diet coke","large",30,0,0,0,0,0,0,0,0,0,95,4,0,0,0,0,0,0,0,0,0,0,0,"Beverages"
"43","mcdonalds","diet dr pepper","medium",21,0,0,0,0,0,0,0,0,0,45,2,0,0,0,0,0,0,0,0,0,15,0,"Beverages"
